Title,Price,Location,Link
"Peugeot 508 diesel, 1.6 HDI, 115cv, 6cv",34000DT,Sfax,https://www.tayara.tn/item/68161f38c1f8f57898e8c14b/Voitures/Sfax/Route_El_Ain/Peugeot_508_diesel_16_HDI_115cv_6cv/
Voiture,50000DT,Kairouan,https://www.tayara.tn/item/68151a6ec1f8f57898e826c7/Voitures/Kairouan/Kairouan/Voiture_/
CAMION IVECO DAILY,48000DT,Tunis,https://www.tayara.tn/item/67e005daca3467b14e6b10cd/Camions/Tunis/Medjez_El_Bab/CAMION_IVECO_DAILY/
Citroene C3,36000DT,Nabeul,https://www.tayara.tn/item/6800d494fd1c6385be51a0e0/Voitures/Nabeul/Korba/Citroene_C3/
𝐂𝐋𝐀𝐒𝐒𝐄 𝐄 𝟐𝟎𝟎𝐃 𝐍𝐢𝐠𝐡𝐭-𝐏𝐚𝐤𝐞𝐭 𝐀𝐌𝐆 𝐋𝐢𝐧𝐞,1111DT,Tunis,https://www.tayara.tn/item/672c749f72ad847c9c39a65b/Voitures/Tunis/L_Aouina/_/
𝐏𝐨𝐫𝐬𝐜𝐡𝐞 𝐂𝐚𝐲𝐞𝐧𝐧𝐞 𝐂𝐨𝐮𝐩𝐞́ 𝐈𝐈𝐈 𝟑.𝟎𝐋,1111DT,Tunis,https://www.tayara.tn/item/66bc8ccad0aad51c75f2d8fa/Voitures/Tunis/L_Aouina/_/
Hyundai tucson hybride importée,112000DT,Sousse,https://www.tayara.tn/item/6813b674c5beda2b51d530b1/Voitures/Sousse/Sahloul/Hyundai_tucson_hybride_importe/
Vente peugeot 2008,55000DT,Tunis,https://www.tayara.tn/item/68109c73c1f8f57898e50563/Voitures/Tunis/Tunis/Vente_peugeot_2008/
mercedes class e coupe 2021 hybrid,190DT,Ariana,https://www.tayara.tn/item/67a22835ecbb2843cb3f991b/Voitures/Ariana/Ariana/mercedes_class_e_coupe_2021_hybrid/
RANGE ROVER SPORT 2 - PACK SPORT - 404 CH - 72 500 KM - PREMIERE MAIN - IMPORTEE DE FRANCE,294000DT,Sousse,https://www.tayara.tn/item/67ec41bbfd1c6385be41da0d/Voitures/Sousse/Sousse/RANGE_ROVER_SPORT_2_PACK_SPORT_404_CH_72_500_KM_PREMIERE_MAIN_IMPORTEE_DE_FRANCE/
Peugeot 208,33000DT,Tunis,https://www.tayara.tn/item/67fc22b8fd1c6385be4e2c1a/Voitures/Tunis/Le_Bardo/Peugeot_208/
Seat arona 2023,79500DT,Ben Arous,https://www.tayara.tn/item/6811afdac1f8f57898e5c3a8/Voitures/Ben_Arous/Boumhel/Seat_arona_2023/
Nissan pathfinder,45000DT,Nabeul,https://www.tayara.tn/item/67bef607af2813f8075aaddb/Voitures/Nabeul/Hammamet/Nissan_pathfinder_/
Golf 7,65000DT,Nabeul,https://www.tayara.tn/item/680f78d2c1f8f57898e445a3/Voitures/Nabeul/Autres_Villes/Golf_7_/
Mercedes CLA 200 AMG+,1111111DT,Tunis,https://www.tayara.tn/item/680fa2954683d01ce0271dba/Voitures/Tunis/Carthage/Mercedes_CLA_200_AMG/
Mini One,30000DT,Bizerte,https://www.tayara.tn/item/680f8f28c1f8f57898e45dfb/Voitures/Bizerte/Bizerte/Mini_One_/
Volkswagen Cafter modèle 2012 L3,35000DT,Ariana,https://www.tayara.tn/item/680f8b49c5beda2b51d2679f/Camions/Ariana/Ghazela/Volkswagen_Cafter_modle_2012_L3/
pajero 4 did diesel,135000DT,Ariana,https://www.tayara.tn/item/68093162c5beda2b51ce480a/Voitures/Ariana/Cit_Ennasr_2/pajero_4_did_diesel_/
Ford Kuga titanium 2022,98000DT,Ariana,https://www.tayara.tn/item/67ca16ef93928ac5bc181e50/Voitures/Ariana/Cit_Ennasr_2/Ford_Kuga_titanium_2022/
Vente Scoda Scala,68000DT,Ariana,https://www.tayara.tn/item/6800fa71fd1c6385be51c716/Voitures/Ariana/Cit_Ennasr_2/Vente_Scoda_Scala/
Peugeot 407 1.6 HDi,15500DT,Tunis,https://www.tayara.tn/item/68168776c5beda2b51d727f8/Voitures/Tunis/Centre_Ville_Lafayette/Peugeot_407_16_HDi_/
kia Picanto BVA,34000DT,Gabès,https://www.tayara.tn/item/68168615c1f8f57898e91ade/Voitures/Gabs/Gabs/kia_Picanto_BVA_/
polo7,1234DT,Sfax,https://www.tayara.tn/item/68168524c5beda2b51d72623/Voitures/Sfax/Sfax/polo7_/
golf 7.5 BVA,68000DT,Sfax,https://www.tayara.tn/item/68168431c5beda2b51d72554/Voitures/Sfax/Sfax/golf_75_BVA_/
mg 5,46000DT,Sousse,https://www.tayara.tn/item/681683fbc5beda2b51d7251f/Voitures/Sousse/Khzema/mg_5/
Renault Captur,36900DT,Ariana,https://www.tayara.tn/item/681682cec1f8f57898e91804/Voitures/Ariana/Ariana/Renault_Captur/
GLE 350 de kit AMG,1234DT,Sousse,https://www.tayara.tn/item/67d4b49afd1c6385be352d4f/Voitures/Sousse/Sousse_Jawhara/GLE_350_de_kit_AMG/
gla180 kit AMG,1234DT,Sousse,https://www.tayara.tn/item/67c7423593928ac5bc168146/Voitures/Sousse/Sousse_Jawhara/gla180_kit_AMG/
golf8 life,1234DT,Sousse,https://www.tayara.tn/item/679e611da487ea2259c332e3/Voitures/Sousse/Sousse_Jawhara/golf8_life/
Cla250e kit amg,1234DT,Sousse,https://www.tayara.tn/item/6733bc8e0d8480a1e00cdbd0/Voitures/Sousse/Sousse_Jawhara/Cla250e_kit_amg/
Glc200 kit AMG,1234DT,Sousse,https://www.tayara.tn/item/66d8f615e2f0c13af83ca5a7/Voitures/Sousse/Sousse_Jawhara/Glc200_kit_AMG/
Fiat talento 2l boite6,1234DT,Sousse,https://www.tayara.tn/item/679bb8146286c241457a28dd/Autres%20V%C3%A9hicules/Sousse/Sousse_Jawhara/Fiat_talento_2l_boite6/
E180 kit Amg,1234DT,Sousse,https://www.tayara.tn/item/672499fe72ad847c9c323eab/Voitures/Sousse/Sousse_Jawhara/E180_kit_Amg/
Skoda Octavia 2l Lauryn & Clement serie limitée,98000DT,Tunis,https://www.tayara.tn/item/6816803dc5beda2b51d721d2/Voitures/Tunis/Ain_Zaghouan_Nord/Skoda_Octavia_2l_Lauryn_Clement_serie_limite_/
KIA NEW SPORTAGE RS,68500DT,Monastir,https://www.tayara.tn/item/68168003c1f8f57898e915b5/Voitures/Monastir/Monastir/KIA_NEW_SPORTAGE_RS/
