Title,Price,Link,Mileage,Color,State,Gearbox,Year,Cylindrée,Brand,Model,Body_type,Fuel
f30 320i tt option tel 25 142 842,52.0,https://www.tayara.tn/item/68284c6541532c94f15b54bf/Voitures/Sousse/Sahloul/f30_320i_tt_option_tel_25_142_842_/,230.0,Noir,Avec kilométrage,Automatique,2013.0,2.0L,BMW,Serie 3,Berline,Essence
Peugeot partner K9,46000.0,https://www.tayara.tn/item/68273bb841532c94f15acb22/Voitures/Tunis/La_Marsa/Peugeot_partner_K9/,173000.0,Blanc,Avec kilométrage,Manuelle,2021.0,1.5L,Peugeot,Partner,Utilitaire,Diesel
BMW f30 320i,upon request,https://www.tayara.tn/item/67ffd411ca3467b14e8088c3/Voitures/Sousse/Khzema/BMW_f30_320i_/,230000.0,Noir,Avec kilométrage,Automatique,2013.0,2.0L,BMW,Serie 3,Berline,Essence
Vente Scoda Scala,67000.0,https://www.tayara.tn/item/6800fa71fd1c6385be51c716/Voitures/Ariana/Cit_Ennasr_2/Vente_Scoda_Scala/,81000.0,Noir,Avec kilométrage,Automatique,,1.6L,Skoda,Autres,Berline,Essence
mahindra kuv8,35000.0,https://www.tayara.tn/item/6826273ca9299683d0ad918e/Voitures/Tunis/La_Marsa/mahindra_kuv8/,60000.0,Rouge,Avec kilométrage,Manuelle,2021.0,1.2L,Mahindra,Hover,Berline,Essence
Fiat punto,31500.0,https://www.tayara.tn/item/6820d4bdcb21b3571b41a026/Voitures/Jendouba/Jendouba/Fiat_punto/,130000.0,Noir,Avec kilométrage,Autres,2015.0,1.1L,Fiat,Punto,Compacte,Essence
Cla 250 e hybride rechargeable AMG 2022,11.0,https://www.tayara.tn/item/6823dcfacb21b3571b437671/Voitures/Tunis/Cit_Olympique/Cla_250_e_hybride_rechargeable_AMG_2022/,54000.0,Noir,Avec kilométrage,Automatique,2022.0,1.4L,Mercedes-Benz,Classe CLA,Berline,Hybride essence
Vente voiture hyundai accent,33000.0,https://www.tayara.tn/item/681b22ccc1f8f57898ec3bfc/Voitures/Tunis/Le_Bardo/Vente_voiture_hyundai_accent/,374000.0,Noir,Avec kilométrage,Manuelle,,1.4L,Hyundai,Accent,Compacte,Essence
BMW f30 320 I tt option,52000.0,https://www.tayara.tn/item/6823119ba9299683d0ab950d/Voitures/Sousse/Sahloul/BMW_f30_320_I_tt_option_/,230.0,Noir,Avec kilométrage,Automatique,2013.0,2.0L,BMW,Serie 3,Berline,Essence
Mercedes CLA 200 AMG+,upon request,https://www.tayara.tn/item/680fa2954683d01ce0271dba/Voitures/Tunis/Carthage/Mercedes_CLA_200_AMG/,74000.0,Blanc,Avec kilométrage,Automatique,2020.0,2.0L,Mercedes-Benz,Classe CLA,Berline,Essence
